baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
73.334150770096	-8.70327901761017	0.824787767346903	-10.5521436691599	4.96511465711535e-26	7.28216816376917e-24	LOC116920020
289.520976193181	-7.93102874641541	0.55153996979933	-14.3797896448031	6.93048782818921e-47	1.2197658577613e-43	LOC116920049
169.222243035901	-7.45534642179778	0.528592386778725	-14.1041502077454	3.58076652463433e-45	2.62700019553549e-42	LOC116917216
18.8474900685474	-6.28702556977657	0.654253842751829	-9.60945914101624	7.2931062060364e-22	7.55050995448474e-20	LOC123470552
893.080205937187	-6.03651226227193	0.428474882455224	-14.0883690256984	4.47784124239004e-45	2.62700019553549e-42	LOC116927716
27.9239927586758	-5.90801607356461	0.613234997514773	-9.63417955189728	5.73482787499668e-22	6.30831066249635e-20	LOC116927257
48.3612269457029	-5.82885383769745	0.531422237330835	-10.9684040829265	5.42209513647848e-28	1.19286093002527e-25	LOC116932608
11.8700163901051	-5.76265506130559	0.641529922628455	-8.9826754108289	2.64261224393068e-19	2.325498774659e-17	LOC123471524
7.19655894029275	-5.61840468173314	0.945667382311538	-5.94120595340808	2.82932879116985e-09	7.78065417571708e-08	LOC116917325
208.185544539481	-5.44129199617478	0.50617645370978	-10.7497927971469	5.93948903634356e-27	1.04535007039647e-24	LOC123474700
62.9990248843141	-5.31497015460929	0.440340620544514	-12.0701336797794	1.51887371899865e-33	5.34643549087524e-31	LOC116927271
27.9824195821258	-5.25694054770807	0.538856044810722	-9.75574199887581	1.7432119116018e-22	2.04536864294611e-20	LOC116921192
389.687554041734	-4.9761943118138	0.391425621683277	-12.7130009793797	5.00751878133072e-37	2.20330826378552e-34	LOC116931561
83.9845372492267	-4.80781977847632	0.444224307760275	-10.8229551928771	2.6799419963127e-27	5.24077545945595e-25	LOC116922202
15.2957417401361	-4.73411909755153	0.546077124266946	-8.66932322775214	4.34696340173539e-18	3.32637199437143e-16	LOC116927711
35.1920533937894	-4.61751590804433	0.585194035340801	-7.89057240707386	3.00803629388561e-15	1.89076567044238e-13	LOC116919803
8.52753069762047	-4.58037791711202	0.656480059641337	-6.97717752404311	3.01169063376795e-12	1.26204178938847e-10	LOC116922904
46.1207364906064	-4.4645432599042	0.382838093418556	-11.6617006945103	2.00007018667988e-31	5.86687254759432e-29	LOC123472177
788.360420999521	-4.23481112204381	0.400601705495111	-10.5711260435348	4.05595047723914e-26	6.48952076358263e-24	LOC116918996
17.3032328155953	-4.06104612915863	0.810222728846779	-5.01225895617477	5.37947413631292e-07	9.96618366306394e-06	LOC116927928
7.52401738367276	-4.01988214176188	0.803400535467325	-5.00358409572578	5.62740998368776e-07	1.03169183034276e-05	LOC116925111
15.5269996301679	-3.70694145401421	0.671017189080402	-5.52436139392257	3.30686172178896e-08	8.08343976437302e-07	LOC123467554
12.1831140774281	-3.62589914148092	0.468729669785551	-7.73558700293031	1.02927082882707e-14	6.03838886245213e-13	LOC116928113
18.626946238582	-3.50098822936028	0.449105318839038	-7.79547264862178	6.41678361561913e-15	3.8943238494792e-13	LOC116936612
22.3859509936678	-3.27372135518912	0.424193767731508	-7.71751403302371	1.18620472672422e-14	6.73458167430526e-13	LOC123475297
6.74003616227742	-3.26015884780004	0.481345558354412	-6.77301117921526	1.26129201413723e-11	4.7231360529394e-10	LOC116925666
17.8479118342187	-3.15704351330408	0.876496117885796	-3.60189103965368	0.000315910779662753	0.00236597009449552	LOC123469376
14.6256376056102	-2.99749447984878	0.39801161255961	-7.53117342625235	5.02863451923461e-14	2.68193841025846e-12	LOC116929388
9.32329821931711	-2.98809174708912	0.45227617674809	-6.60678563388811	3.92754101211203e-11	1.41070860843208e-09	LOC116922192
91.2651875261137	-2.91844797074961	0.421918869513786	-6.91708331062035	4.61036987697491e-12	1.88703511243624e-10	LOC116929958
7.886317213326	-2.9182654382808	0.46777236679272	-6.23864436090972	4.41379181625078e-10	1.36285501694761e-08	LOC116916851
80.0668038763722	-2.87378303293783	0.30632827794686	-9.38138343674676	6.51126962238644e-21	6.36657474188897e-19	LOC116917524
7.56156692901013	-2.82061289353062	0.595118100444973	-4.73958512003186	2.14156257386948e-06	3.39563074775701e-05	LOC116932289
36.0520076025645	-2.74583235537607	0.389713055378964	-7.04577975378828	1.84425773667032e-12	8.11473404134943e-11	LOC123474740
150.746752048266	-2.66136220291869	0.262273104292771	-10.1472936391825	3.40679910482451e-24	4.61228186499319e-22	LOC116921385
8.38420397710895	-2.60897985275803	0.420612121970397	-6.20281660104332	5.54614591225425e-10	1.65444352636737e-08	LOC116932811
11.2085702725323	-2.56950005023209	0.419753424685451	-6.12145106894028	9.27269951538679e-10	2.71999185784679e-08	LOC116923668
7.9869648501733	-2.38829900976108	0.566529459032498	-4.21566605528288	2.49042059930277e-05	0.000298172806447135	LOC116918080
11.8196508217446	-2.35667097712847	0.359220021487783	-6.5605223432921	5.36196194231981e-11	1.81481788816978e-09	LOC116936648
103.094081574033	-2.30221654436137	0.466440375956206	-4.93571453723706	7.98578414251801e-07	1.40549800908317e-05	LOC123466355
9.99539630476658	-2.30087178966262	0.397072333052072	-5.7945910559346	6.84878576804218e-09	1.79908402264989e-07	LOC116917301
119.958184419031	-2.26955020313186	0.379564235788958	-5.97935735018446	2.24019637368155e-09	6.35926712528957e-08	LOC116921608
10.5309285933131	-2.05057885978922	0.300596913919454	-6.8216896609214	8.99758769512558e-12	3.51905652076023e-10	LOC123471547
23.5955640891007	-1.98526371964449	0.340865239585475	-5.82418941297377	5.73904583042221e-09	1.53041222144592e-07	LOC116928423
